ID	Name\HasVariant	Glottocode	Family	ISO639P3Code	PRONTO
cavinena	Cavineña		cavi1250	Pano-Tacanan	cav	https://drive.google.com/file/d/1FXaLeHMcdb7XFuOKn1VGZaIMVJR0DBHr/view?usp=share_link
cebuano	Cebuano		cebu1242	Austronesian	ceb	https://drive.google.com/file/d/1dGBPuQ-E4to-XEXRqZUp5PBw9Plui1Oc/view?usp=share_link
centralkurdish	Central Kurdish		cent1972	Indo-European	ckb	https://drive.google.com/file/d/1iSiGAcH1zDNENsZyPE5Ge7l2J6h9Wlgt/view?usp=share_link
chapalaa	Cha'palaa		chac1249	Barbacoan	cbi	https://drive.google.com/file/d/1-nJ1bGiTTqhLWNqQ9OVTlZBvo51JE-Gj/view?usp=share_link
chamorro	Chamorro		cham1312	Austronesian	cha	https://drive.google.com/file/d/1L8R_BgF3KtRA7V1-oPgyAfLdBCM9gWQx/view?usp=share_link
nopalachatino	Nopala Chatino		nopa1235	Otomanguean	cya	https://drive.google.com/file/d/1mXc9ZYreG8nYthVAu_hq9DmecRzdQIZ-/view?usp=share_link
tataltepecchatino	Tataltepec Chatino		tata1258	Otomanguean	cta	https://drive.google.com/file/d/1UrN8MzKUVIf4QAcZ6VTYOSNOFB5l9j6X/view?usp=share_link
westernhighlandchatino	Western Highland Chatino		west2644	Otomanguean	ctp	https://drive.google.com/file/d/1PgOp9kaakrf7UQmx8iUYup-t-mexhecc/view?usp=share_link
chavacano	Chavacano		chav1241	Indo-European	cbk	https://drive.google.com/file/d/1j1N3K3-j052F-llI6UakNDXNKDrFqZeu/view?usp=share_link
shawi	Shawi		chay1248	Cahuapanan	cbt	https://drive.google.com/file/d/1NZSqmt29BczuXFRKwrUHAkzEQ0vSh586/view?usp=share_link
nyanja	Nyanja		nyan1308	Atlantic-Congo	nya	https://drive.google.com/file/d/1uScqR75NSnqZn2y4vexR-ai3zvpc5gY_/view?usp=share_link
